Num	Name	Type	Category	Contest	PP	Power	Accuracy	Gen
138	Dream Eater	Psychic	Special	Smart	 15	 100	 100%	 I
139	Poison Gas	Poison	Status	Smart	 40	 —	 90%	 I
140	Barrage	Normal	Physical	Tough	 20	 15	 85%	 I
141	Leech Life	Bug	Physical	Smart	 15	 20	 100%	 I
142	Lovely Kiss	Normal	Status	Beauty	 10	 —	 75%	 I
143	Sky Attack	Flying	Physical	Cool	 5	 140	 90%	 I
144	Transform	Normal	Status	Smart	 10	 —	 —	 I
145	Bubble	Water	Special	Cute	 30	 40	 100%	 I
146	Dizzy Punch	Normal	Physical	Cool	 10	 70	 100%	 I
147	Spore	Grass	Status	Beauty	 15	 —	 100%	 I
148	Flash	Normal	Status	Beauty	 20	 —	 100%	 I
149	Psywave	Psychic	Special	Smart	 15	 —	 100%	 I
150	Splash	Normal	Status	Cute	 40	 —	 —	 I
151	Acid Armor	Poison	Status	Tough	 20	 —	 —	 I
152	Crabhammer	Water	Physical	Tough	 10	 100	 90%	 I
153	Explosion	Normal	Physical	Beauty	 5	 250	 100%	 I
154	Fury Swipes	Normal	Physical	Tough	 15	 18	 80%	 I
155	Bonemerang	Ground	Physical	Tough	 10	 50	 90%	 I
156	Rest	Psychic	Status	Cute	 10	 —	 —	 I
157	Rock Slide	Rock	Physical	Tough	 10	 75	 90%	 I
158	Hyper Fang	Normal	Physical	Cool	 15	 80	 90%	 I
159	Sharpen	Normal	Status	Cute	 30	 —	 —	 I
160	Conversion	Normal	Status	Beauty	 30	 —	 —	 I
161	Tri Attack	Normal	Special	Beauty	 10	 80	 100%	 I
162	Super Fang	Normal	Physical	Tough	 10	 —	 90%	 I
163	Slash	Normal	Physical	Cool	 20	 70	 100%	 I
164	Substitute	Normal	Status	Smart	 10	 —	 —	 I
165	Struggle	Normal	Physical	Cool	 1	 50	 100%	 I
166	Sketch	Normal	Status	Smart	 1	 —	 —	 II
167	Triple Kick	Fighting	Physical	Cool	 10	 10	 90%	 II
168	Thief	Dark	Physical	Tough	 25	 60	 100%	 II
169	Spider Web	Bug	Status	Smart	 10	 —	 100%	 II
170	Mind Reader	Normal	Status	Smart	 5	 —	 100%	 II
171	Nightmare	Ghost	Status	Smart	 15	 —	 100%	 II
172	Flame Wheel	Fire	Physical	Beauty	 25	 60	 100%	 II
173	Snore	Normal	Special	Cute	 15	 50	 100%	 II
174	Curse	Ghost	Status	Tough	 10	 —	 —	 II
175	Flail	Normal	Physical	Cute	 15	 —	 100%	 II
176	Conversion 2	Normal	Status	Beauty	 30	 —	 100%	 II
177	Aeroblast	Flying	Special	Cool	 5	 100	 95%	 II
178	Cotton Spore	Grass	Status	Beauty	 40	 —	 100%	 II
179	Reversal	Fighting	Physical	Cool	 15	 —	 100%	 II
180	Spite	Ghost	Status	Tough	 10	 —	 100%	 II
181	Powder Snow	Ice	Special	Beauty	 25	 40	 100%	 II
182	Protect	Normal	Status	Cute	 10	 —	 —	 II
183	Mach Punch	Fighting	Physical	Cool	 30	 40	 100%	 II
184	Scary Face	Normal	Status	Tough	 10	 —	 100%	 II
185	Feint Attack	Dark	Physical	Smart	 20	 60	 —	 II
186	Sweet Kiss	Fairy	Status	Cute	 10	 —	 75%	 II
187	Belly Drum	Normal	Status	Cute	 10	 —	 —	 II
188	Sludge Bomb	Poison	Special	Tough	 10	 90	 100%	 II
189	Mud-Slap	Ground	Special	Cute	 10	 20	 100%	 II
190	Octazooka	Water	Special	Tough	 10	 65	 85%	 II
191	Spikes	Ground	Status	Smart	 20	 —	 —	 II
192	Zap Cannon	Electric	Special	Cool	 5	 120	 50%	 II
193	Foresight	Normal	Status	Smart	 40	 —	 100%	 II
194	Destiny Bond	Ghost	Status	Smart	 5	 —	 —	 II
195	Perish Song	Normal	Status	Beauty	 5	 —	 —	 II
196	Icy Wind	Ice	Special	Beauty	 15	 55	 95%	 II
197	Detect	Fighting	Status	Cool	 5	 —	 —	 II
198	Bone Rush	Ground	Physical	Tough	 10	 25	 90%	 II
199	Lock-On	Normal	Status	Smart	 5	 —	 100%	 II
200	Outrage	Dragon	Physical	Cool	 15	 120	 100%	 II
201	Sandstorm	Rock	Status	Tough	 10	 —	 —	 II
202	Giga Drain	Grass	Special	Smart	 10	 75	 100%	 II
203	Endure	Normal	Status	Tough	 10	 —	 —	 II
204	Charm	Fairy	Status	Cute	 20	 —	 100%	 II
205	Rollout	Rock	Physical	Tough	 20	 30	 90%	 II
206	False Swipe	Normal	Physical	Cool	 40	 40	 100%	 II
207	Swagger	Normal	Status	Cute	 15	 —	 90%	 II
208	Milk Drink	Normal	Status	Cute	 10	 —	 —	 II
209	Spark	Electric	Physical	Cool	 20	 65	 100%	 II
210	Fury Cutter	Bug	Physical	Cool	 20	 40	 95%	 II
211	Steel Wing	Steel	Physical	Cool	 25	 70	 90%	 II
212	Mean Look	Normal	Status	Beauty	 5	 —	 100%	 II
213	Attract	Normal	Status	Cute	 15	 —	 100%	 II
214	Sleep Talk	Normal	Status	Cute	 10	 —	 —	 II
215	Heal Bell	Normal	Status	Beauty	 5	 —	 —	 II
216	Return	Normal	Physical	Cute	 20	 —	 100%	 II
217	Present	Normal	Physical	Cute	 15	 —	 90%	 II
218	Frustration	Normal	Physical	Cute	 20	 —	 100%	 II
219	Safeguard	Normal	Status	Beauty	 25	 —	 —	 II
220	Pain Split	Normal	Status	Smart	 20	 —	 100%	 II
221	Sacred Fire	Fire	Physical	Beauty	 5	 100	 95%	 II
222	Magnitude	Ground	Physical	Tough	 30	 —	 100%	 II
223	Dynamic Punch	Fighting	Physical	Cool	 5	 100	 50%	 II
224	Megahorn	Bug	Physical	Cool	 10	 120	 85%	 II
225	Dragon Breath	Dragon	Special	Cool	 20	 60	 100%	 II
226	Baton Pass	Normal	Status	Cute	 40	 —	 —	 II
227	Encore	Normal	Status	Cute	 5	 —	 100%	 II
228	Pursuit	Dark	Physical	Smart	 20	 40	 100%	 II
229	Rapid Spin	Normal	Physical	Cool	 40	 20	 100%	 II
230	Sweet Scent	Normal	Status	Cute	 20	 —	 100%	 II
231	Iron Tail	Steel	Physical	Cool	 15	 100	 75%	 II
232	Metal Claw	Steel	Physical	Cool	 35	 50	 95%	 II
233	Vital Throw	Fighting	Physical	Cool	 10	 70	 100%	 II
234	Morning Sun	Normal	Status	Beauty	 5	 —	 —	 II
235	Synthesis	Grass	Status	Smart	 5	 —	 —	 II
236	Moonlight	Fairy	Status	Beauty	 5	 —	 —	 II
237	Hidden Power	Normal	Special	Smart	 15	 60	 100%	 II
238	Cross Chop	Fighting	Physical	Cool	 5	 100	 80%	 II
239	Twister	Dragon	Special	Cool	 20	 40	 100%	 II
240	Rain Dance	Water	Status	Tough	 5	 —	 —	 II
241	Sunny Day	Fire	Status	Beauty	 5	 —	 —	 II
242	Crunch	Dark	Physical	Tough	 15	 80	 100%	 II
243	Mirror Coat	Psychic	Special	Beauty	 20	 —	 100%	 II
244	Psych Up	Normal	Status	Smart	 10	 —	 —	 II
245	Extreme Speed	Normal	Physical	Cool	 5	 80	 100%	 II
246	Ancient Power	Rock	Special	Tough	 5	 60	 100%	 II
247	Shadow Ball	Ghost	Special	Smart	 15	 80	 100%	 II
248	Future Sight	Psychic	Special	Smart	 10	 120	 100%	 II
249	Rock Smash	Fighting	Physical	Tough	 15	 40	 100%	 II
250	Whirlpool	Water	Special	Beauty	 15	 35	 85%	 II
251	Beat Up	Dark	Physical	Smart	 10	 —	 100%	 II
